1778882203.5832,2538,1519,0.0080,3.16,394.24
1778882203.5912,2531,1512,0.0080,9.90,1240.08
1778882203.5991,2521,1504,0.0080,12.81,1604.20
1778882203.6071,2510,1496,0.0080,13.60,1699.85
1778882203.6152,2496,1485,0.0081,17.80,2207.24
1778882203.6232,2474,1469,0.0079,27.20,3427.38
1778882203.6312,2448,1453,0.0080,30.53,3813.86
1778882203.6392,2430,1441,0.0080,21.63,2687.86
1778882203.6472,2400,1421,0.0080,36.06,4490.00
1778882203.6552,2363,1404,0.0080,40.72,5090.95
1778882203.6632,2308,1376,0.0080,61.72,7730.63
1778882203.6712,2254,1352,0.0080,59.09,7401.96
1778882203.6792,2192,1321,0.0080,69.32,8667.20
1778882203.6871,2114,1281,0.0079,87.66,11027.12
1778882203.6952,2020,1234,0.0080,105.10,13068.91
1778882203.7032,1909,1179,0.0080,123.88,15428.51
1778882203.7112,1806,1125,0.0079,116.30,14635.02
1778882203.7192,1702,1065,0.0081,120.07,14906.35
1778882203.7272,1583,1002,0.0079,134.65,16947.85
1778882203.7352,1480,0948,0.0080,116.30,14486.80
1778882203.7432,1391,0890,0.0080,106.23,13198.00
1778882203.7512,1301,0827,0.0080,109.86,13807.44
1778882203.7592,1218,0764,0.0080,104.20,13083.09
1778882203.7671,1125,0689,0.0080,119.47,14974.59
1778882203.7752,1034,0619,0.0081,114.81,14215.26
1778882203.7832,0949,0544,0.0079,113.36,14276.28
1778882203.7912,0857,0469,0.0081,118.70,14715.41
1778882203.7992,0773,0400,0.0080,108.71,13622.94
1778882203.8072,0689,0332,0.0080,108.07,13559.54
1778882203.8152,0606,0270,0.0080,103.60,12985.80
1778882203.8232,0531,0209,0.0080,96.67,12076.22
1778882203.8312,0471,0158,0.0080,78.75,9837.57
1778882203.8392,0411,0113,0.0080,75.00,9344.76
1778882203.8472,0361,0075,0.0080,62.80,7836.71
1778882203.8553,0319,0044,0.0081,52.20,6459.25
1778882203.8631,0276,0014,0.0079,52.43,6666.60
1778882203.8712,0236,-012,0.0081,47.71,5910.49
1778882203.8792,0197,-021,0.0079,40.02,5037.87
1778882203.8872,0158,-022,0.0080,39.01,4868.11
1778882203.8952,0112,-023,0.0080,46.01,5751.95
1778882203.9032,0073,-021,0.0080,39.05,4859.74
1778882203.9112,0034,-021,0.0080,39.00,4854.66
1778882203.9192,-005,-021,0.0080,39.00,4882.92
1778882203.9272,-039,-022,0.0080,34.01,4267.92
1778882203.9354,-033,-016,0.0082,8.49,1029.53
1778882203.9433,-030,-017,0.0078,3.16,404.56
1778882203.9514,-025,-012,0.0081,7.07,867.96
1778882203.9594,-026,-013,0.0080,1.41,177.84
1778882203.9673,-018,-012,0.0080,8.06,1010.57
1778882203.9753,-014,-009,0.0080,5.00,626.82
1778882203.9834,-010,-007,0.0080,4.47,555.55
1778882203.9992,-007,-005,0.0080,4.24,531.11
1778882204.0072,-007,-007,0.0080,2.00,251.34
1778882204.0152,-004,-004,0.0081,4.24,526.82
